OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,DISCOVERY_DATE_CONVERTED,CONT_DATE_CONVERTED,BURNING_DAYS,STATE_NAME
1,201508655,W-649635,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,G1HG,LONG DRAW,OR-VAD-000067,Long Draw,OR4239211789420120708,LONG DRAW,,2012,190,1800,1.0,Lightning,212,0830,558198.3,G,42.391894,-117.893687,1.0,BLM,OR,Malheur,045,Malheur,Point,2012-07-08,2012-07-30,22.0,Oregon
2,201507302,W-641270,FED,DOI-WFMI,BLM,USNVWID,Winnemucca District Office,NVWID,Winnemucca Field Office,,,G4ZC,HOLLOWAY,NV-WID-020210,Holloway,NV4197311836620120805,HOLLOWAY,,2012,218,1632,1.0,Lightning,244,1800,461047.0,G,41.9733,-118.365,1.0,BLM,OR,Harney,025,Harney,Point,2012-08-05,2012-08-31,26.0,Oregon
12,300024929,W-676717,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,H8BD,SADDLE DRAW,634363,SADDLE DRAW,OR4332411821620140714,SADDLE DRAW,BUZZARD COMPLEX,2014,195,0146,1.0,Lightning,246,1800,280141.0,G,43.3283,-118.2244,1.0,BLM,OR,Malheur,045,Malheur,Point,2014-07-14,2014-09-03,51.0,Oregon
36,201508153,W-648062,FED,DOI-WFMI,BLM,USORBUD,Burns District,ORBUD,Burns District,,,G1G1,MILLER HOMESTEAD,OR-BUD-20072,Miller Homestead,OR4281911917520120708,MILLER HOMESTEAD,,2012,190,1602,1.0,Lightning,321,1300,160801.0,G,42.8186,-119.175,1.0,BLM,OR,Harney,025,Harney,Point,2012-07-08,2012-11-16,131.0,Oregon
73,300215508,W-688729,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,MSC0,CANYON CREEK,2870956,CANYON CREEK COMPLEX,OR4428411896120150812,CANYON CREEK COMPLEX,CANYON CREEK COMPLEX,2015,224,0330,1.0,Lightning,305,1200,101028.0,G,44.3178,-118.9292,5.0,USFS,OR,Grant,023,Grant,Point,2015-08-12,2015-11-01,81.0,Oregon
80,201435348,FS-1511438,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,028,680,G47N,BARRY POINT,OR-FWF-120680,Barry Point,OR4211012080120120806,BARRY POINT,,2012,219,1634,1.0,Lightning,261,1800,92977.0,G,42.11166667,-120.80138889,5.0,USFS,OR,037,037,Lake,Point,2012-08-06,2012-09-17,42.0,Oregon
89,300023292,W-676774,FED,DOI-WFMI,BLM,USORBUD,Burns District,ORBUD,Burns District,,,H8C8,BUZZARD,634805,BUZZARD COMPLEX,OR4362911838720140714,BUZZARD,BUZZARD COMPLEX,2014,195,0553,1.0,Lightning,246,1800,87141.0,G,43.6161,-118.4256,1.0,BLM,OR,Harney,025,Harney,Point,2014-07-14,2014-09-03,51.0,Oregon
97,349322,W-106507,FED,DOI-WFMI,BLM,USORLAD,Lakeview District,ORLAD,Lakeview District,,,M209,BIG JUNIPE,OR-LAD-373,Big Juniper,OR4295411972520010808,BIG JUNIPER,LAKEVIEW COMPLEX,2001,220,2001,1.0,Lightning,242,1200,80548.0,G,42.9279,-119.9077,1.0,BLM,OR,Lake,037,Lake,Point,2001-08-08,2001-08-30,22.0,Oregon
99,351685,W-96902,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,N032,JACKSON,OR-VAD-070,Jackson Fire,OR4415511718820000714,JACKSON,,2000,196,1223,1.0,Lightning,199,1900,79914.0,G,44.1963,-117.313,8.0,PRIVATE,OR,Malheur,045,Malheur,Point,2000-07-14,2000-07-17,3.0,Oregon
100,24248,FS-1455423,FED,FS-FIRESTAT,FS,USORWWF,Wallowa-Whitman National Forest,0616,Wallowa-Whitman National Forest,98,376,DQW6,BATTLE CREEK,OR-WWF-376,Battle Creek Complex,OR4541311664220070713,BATTLE CREEK COMPLEX (BATTLE CREEK),BATTLE CREEK COMPLEX,2007,194,2140,1.0,Lightning,244,1800,79149.0,G,45.30916667,-116.68611111,5.0,USFS,OR,63,063,Wallowa,Point,2007-07-13,2007-09-01,50.0,Oregon
108,201435804,FS-1506235,FED,FS-FIRESTAT,FS,USORWWF,Wallowa-Whitman National Forest,0616,Wallowa-Whitman National Forest,032,742,G6PE,CACHE CREEK,OR-WWF-000742,Cache Creek,OR4598611692820120820,CACHE CREEK,,2012,233,1940,1.0,Lightning,310,1520,73582.0,G,45.98638889,-116.92833333,5.0,USFS,OR,063,063,Wallowa,Point,2012-08-20,2012-11-05,77.0,Oregon
117,348919,W-537671,FED,DOI-WFMI,BLM,USORBUD,Burns District,ORBUD,Burns District,,,C4TJ,PUEBLO FIRE,OR-BUD-2500,South End Complex,OR4232311875820060821,PUEBLO FIRE,SOUTH END COMPLEX,2006,233,1726,1.0,Lightning,246,1900,68224.1,G,42.3691,-118.8427,1.0,BLM,OR,Harney,025,Harney,Point,2006-08-21,2006-09-03,13.0,Oregon
122,351775,W-106145,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,N157,JACKIESBTE,OR-VAD-180,JACKIE'S BUTTE COMPLEX,OR4263511759320010809,JACKIE'S BUTTE,JACKIE'S BUTTE COMPLEX,2001,221,1435,1.0,Lightning,225,2000,67052.0,G,42.629,-117.4971,1.0,BLM,OR,Malheur,045,Malheur,Point,2001-08-09,2001-08-13,4.0,Oregon
130,352024,W-533661,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,C0R7,HAPPY VALLEY,OR-VAD-145,Happy Valley,OR4300111780120060722,HAPPY VALLEY,,2006,203,2330,1.0,Lightning,211,1500,65031.0,G,42.979,-117.751,1.0,BLM,OR,Malheur,045,Malheur,Point,2006-07-22,2006-07-30,8.0,Oregon
134,300024401,W-676396,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,H96A,0649 MURDERERS SOUTH,750301,SOUTH FORK COMPLEX,OR4426911945020140801,SOUTH FORK COMPLEX,SOUTH FORK COMPLEX,2014,212,2302,1.0,Lightning,300,0756,64531.0,G,44.2636,-119.4664,1.0,BLM,OR,Grant,023,Grant,Point,2014-07-31,2014-10-27,88.0,Oregon
161,25988,FS-1457456,FED,FS-FIRESTAT,FS,USORMAF,Malheur National Forest,0604,Malheur National Forest,167,070,DN0P,EGLEY,OR-BFZ-7148,Egley Complex,OR4382211938920070706,EGLEY COMPLEX (EGLEY),EGLEY COMPLEX,2007,187,1701,1.0,Lightning,203,1800,55420.0,G,43.6675,-119.43027778,5.0,USFS,OR,25,025,Harney,Point,2007-07-06,2007-07-22,16.0,Oregon
169,352029,W-536284,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,C0Z6,FOSTER GULCH,OR-WWF-394,Foster Gulch Complex,OR4490111693120060723,FOSTER GULCH,FOSTER GULCH COMPLEX,2006,204,2044,1.0,Lightning,224,1400,53547.0,G,44.7993,-117.1182,1.0,BLM,OR,Baker,001,Baker,Point,2006-07-23,2006-08-12,20.0,Oregon
