OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,DISCOVERY_DATE_CONVERTED,CONT_DATE_CONVERTED
2510,1395502,AK-FAS-33156,INTERAGCY,IA-AKACC,ST/C&L,USAKFAS,Fairbanks Area Forestry,AKFAS,Fairbanks Area Forestry,230,33156,FE4E,GRANITE TORS,AK-FAS-011230,Granite Tors,AK6479114628020100527,GRANITE TORS,,2010,147,,1.0,Lightning,223,0553,7880.0,G,64.7858353,-146.2236176,7.0,STATE,AK,,,,Point,2010-05-27,2010-08-11
2511,1395755,AK-SWS-33547,INTERAGCY,IA-AKACC,ST/C&L,USAKSWS,Southwest Area Forestry,AKSWS,Southwest Area Forestry,604,33547,FKD8,NO NAME CREEK,AK-SWS-004604,No Name Creek,AK6347415357320100708,NO NAME CREEK,,2010,189,,1.0,Lightning,250,0555,7110.0,G,63.439167,-153.6786041,7.0,STATE,AK,,,,Point,2010-07-08,2010-09-07
2512,1395767,AK-SWS-33191,INTERAGCY,IA-AKACC,ST/C&L,USAKSWS,Southwest Area Forestry,AKSWS,Southwest Area Forestry,264,33191,FE14,NORTH FORK,AK-SWS-73004264,North Fork,AK6330115410320100528,NORTH FORK,,2010,148,,1.0,Lightning,197,0741,12188.0,G,63.3005562,-154.0330505,7.0,STATE,AK,,,,Point,2010-05-28,2010-07-16
2513,1395848,AK-SWS-33209,INTERAGCY,IA-AKACC,ST/C&L,USAKSWS,Southwest Area Forestry,AKSWS,Southwest Area Forestry,269,33209,004269,MCLEAN CREEK,AK-SWS-73004269,McClean Creek,AK6364915628320100529,MCLEAN CREEK,,2010,149,,1.0,Lightning,196,0741,14099.0,G,63.6450005,-156.3061066,7.0,STATE,AK,,,,Point,2010-05-29,2010-07-15
2514,1396076,AK-DAS-33142,INTERAGCY,IA-AKACC,ST/C&L,USAKDAS,Delta Area Forestry,AKDAS,Delta Area Forestry,219,33142,FEU5,GILLES/DELTA COMPLEX,AK-DAS-012219,Delta Complex,AK6433814575820100526,DELTA COMPLEX (GILLES CREEK),DELTA COMPLEX,2010,146,,1.0,Lightning,242,0559,19372.0,G,64.3347244,-145.6944427,7.0,STATE,AK,,,,Point,2010-05-26,2010-08-30
2515,1428709,FS-1486167,FED,FS-FIRESTAT,FS,USAZCOF,Coconino National Forest,0304,Coconino National Forest,069,040,FGF9,SCHULTZ,AZ-COF-000181,Schultz,AZ3532911160120100620,SCHULTZ,,2010,171,1108,4.0,Campfire,194,1800,15075.0,G,35.2863889,-111.623889,5.0,USFS,AZ,005,005,Coconino,Point,2010-06-20,2010-07-13
2516,1429144,FS-1486709,FED,FS-FIRESTAT,FS,USUTFIF,Fishlake National Forest,0408,Fishlake National Forest,013,BVR 02,FL8Q,TWITCHELL CANYON,UT-FIF-000089,Twitchell Canyon,UT3846911247320100720,TWITCHELL CANYON,,2010,201,1102,1.0,Lightning,294,1700,44892.0,G,38.4252778,-112.499167,5.0,USFS,UT,001,001,Beaver,Point,2010-07-20,2010-10-21
2517,1429178,FS-1486745,FED,FS-FIRESTAT,FS,USAZCNF,Coronado National Forest,0305,Coronado National Forest,037,01/05,FG3Q,BRUSHY,AZ-CNF-010050,BRUSHY,AZ3177410936420100624,BRUSHY,,2010,175,1841,1.0,Lightning,191,1600,5935.0,G,31.7727778,-109.33,5.0,USFS,AZ,003,003,Cochise,Point,2010-06-24,2010-07-10
2518,1430176,FS-1487917,FED,FS-FIRESTAT,FS,USNMSNF,Santa Fe National Forest,0310,Santa Fe National Forest,020,07,FFW7,SOUTH FORK,NM-SNF-000056,SOUTH FORK,NM3606710641620100610,SOUTH FORK,,2010,161,1335,1.0,Lightning,235,1000,27100.0,G,36.0558333,-106.449722,5.0,USFS,NM,039,039,Rio Arriba,Point,2010-06-10,2010-08-23
2519,1430521,FS-1488339,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,0301,Apache-Sitgreaves National Forest,034,11,FF6R,PARADISE,AZ-ASF-1000101,Paradise,AZ3362810924420100607,PARADISE,BOGGY COMPLEX,2010,158,1545,1.0,Lightning,218,0927,6355.0,G,33.6361111,-109.223889,5.0,USFS,AZ,011,011,Greenlee,Point,2010-06-07,2010-08-06
2520,1432347,FS-1490476,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,0513,Sequoia National Forest,030,021,FM8F,BULL,CA-SQF-2701,Bull,CA3581211845020100726,BULL,,2010,207,1356,9.0,Miscellaneous,243,1800,16442.0,G,35.7852778,-118.474722,5.0,USFS,CA,029,029,Kern,Point,2010-07-26,2010-08-31
2521,1432969,FS-1491178,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,101,5-008,FPP0,0476  ROOSTER ROCK,OR-DEF-000476,Rooster Rock,OR4418312154220100802,ROOSTER ROCK,,2010,214,1141,9.0,Miscellaneous,227,0930,6134.0,G,44.2194444,-121.584444,5.0,USFS,OR,017,017,Deschutes,Point,2010-08-02,2010-08-15
2522,1433249,FS-1491505,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,0513,Sequoia National Forest,041,027,FU4L,CANYON,CA-SQF-003564,CANYON,CA3555411854220100912,CANYON,,2010,255,1402,9.0,Miscellaneous,267,1800,9820.0,G,35.5563889,-118.601944,5.0,USFS,CA,029,029,Kern,Point,2010-09-12,2010-09-24
2523,1433319,FS-1491590,FED,FS-FIRESTAT,FS,USWAOWF,Okanogan/Wenatchee National Forest,0617,Okanogan-Wenatchee National Forest,118,201,FKW9,SWAKANE,WA-SES-249,Swakane,WA4756712031520100710,SWAKANE,,2010,191,1230,9.0,Miscellaneous,253,1800,19291.0,G,47.5758333,-120.3475,5.0,USFS,WA,007,007,Chelan,Point,2010-07-10,2010-09-10
